algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,cuda_candidate_policy,log_file
sa-cuda-candidate-random,a280,280,300000,2,nn,64,128,cuda,2749,2749,576.445,3590912,1780691,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_sa_candidate_parallel_random_b128_c128_20260622_221002_736804.log
sa-cuda-candidate-random,a280,280,300000,3,nn,64,128,cuda,2788,2788,576.255,3589734,1780874,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_sa_candidate_parallel_random_b128_c128_20260622_221002_736804.log
qlsa-cuda-chain,a280,280,300000,1,nn,64,128,cuda,2791,2791,657.224,3648362,1790169,chain,128,128,serial,,results\logs\cuda_candidate\a280_qlsa_chain_serial_best_b128_c128_20260622_221004_575240.log
qlsa-cuda-chain,a280,280,300000,2,nn,64,128,cuda,2781,2781,664.352,3647803,1789812,chain,128,128,serial,,results\logs\cuda_candidate\a280_qlsa_chain_serial_best_b128_c128_20260622_221004_575240.log
qlsa-cuda-chain,a280,280,300000,3,nn,64,128,cuda,2813,2813,653.323,3651989,1789947,chain,128,128,serial,,results\logs\cuda_candidate\a280_qlsa_chain_serial_best_b128_c128_20260622_221004_575240.log
qlsa-cuda-candidate,a280,280,300000,1,nn,64,128,cuda,2583,2583,1790.824,13903446,2296942,candidate,128,128,serial,best,results\logs\cuda_candidate\a280_qlsa_candidate_serial_best_b128_c128_20260622_221006_666149.log
qlsa-cuda-candidate,a280,280,300000,2,nn,64,128,cuda,2583,2583,1774.382,13909305,2296890,candidate,128,128,serial,best,results\logs\cuda_candidate\a280_qlsa_candidate_serial_best_b128_c128_20260622_221006_666149.log
qlsa-cuda-candidate,a280,280,300000,3,nn,64,128,cuda,2596,2596,1801.025,13937417,2298709,candidate,128,128,serial,best,results\logs\cuda_candidate\a280_qlsa_candidate_serial_best_b128_c128_20260622_221006_666149.log
qlsa-cuda-candidate-random,a280,280,300000,1,nn,64,128,cuda,2773,2773,979.386,3644107,1788498,candidate,128,128,serial,random,results\logs\cuda_candidate\a280_qlsa_candidate_serial_random_b128_c128_20260622_221012_154912.log
qlsa-cuda-candidate-random,a280,280,300000,2,nn,64,128,cuda,2788,2788,973.130,3646963,1791073,candidate,128,128,serial,random,results\logs\cuda_candidate\a280_qlsa_candidate_serial_random_b128_c128_20260622_221012_154912.log
qlsa-cuda-candidate-random,a280,280,300000,3,nn,64,128,cuda,2772,2772,969.774,3646505,1790943,candidate,128,128,serial,random,results\logs\cuda_candidate\a280_qlsa_candidate_serial_random_b128_c128_20260622_221012_154912.log
qlsa-cuda-candidate,a280,280,300000,1,nn,64,128,cuda,2583,2583,1205.577,13903446,2296942,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_best_b128_c128_20260622_221015_195925.log
qlsa-cuda-candidate,a280,280,300000,2,nn,64,128,cuda,2583,2583,1203.798,13909305,2296890,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_best_b128_c128_20260622_221015_195925.log
qlsa-cuda-candidate,a280,280,300000,3,nn,64,128,cuda,2596,2596,1197.984,13937417,2298709,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_best_b128_c128_20260622_221015_195925.log
qlsa-cuda-candidate-random,a280,280,300000,1,nn,64,128,cuda,2773,2773,881.307,3644107,1788498,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_random_b128_c128_20260622_221018_930361.log
qlsa-cuda-candidate-random,a280,280,300000,2,nn,64,128,cuda,2788,2788,884.139,3646963,1791073,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_random_b128_c128_20260622_221018_930361.log
qlsa-cuda-candidate-random,a280,280,300000,3,nn,64,128,cuda,2772,2772,887.098,3646505,1790943,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_random_b128_c128_20260622_221018_930361.log
sa-cuda-chain,lin318,318,300000,1,nn,64,128,cuda,45396,45396,326.447,554464,290970,chain,128,128,serial,,results\logs\cuda_candidate\lin318_sa_chain_serial_best_b128_c128_20260622_221021_691734.log
sa-cuda-chain,lin318,318,300000,2,nn,64,128,cuda,44864,44864,325.375,553570,290718,chain,128,128,serial,,results\logs\cuda_candidate\lin318_sa_chain_serial_best_b128_c128_20260622_221021_691734.log
sa-cuda-chain,lin318,318,300000,3,nn,64,128,cuda,45548,45548,328.031,553439,290936,chain,128,128,serial,,results\logs\cuda_candidate\lin318_sa_chain_serial_best_b128_c128_20260622_221021_691734.log
sa-cuda-candidate,lin318,318,300000,1,nn,64,128,cuda,42205,42205,890.956,3476690,1692155,candidate,128,128,serial,best,results\logs\cuda_candidate\lin318_sa_candidate_serial_best_b128_c128_20260622_221022_792141.log
sa-cuda-candidate,lin318,318,300000,2,nn,64,128,cuda,42405,42405,888.504,3480034,1694283,candidate,128,128,serial,best,results\logs\cuda_candidate\lin318_sa_candidate_serial_best_b128_c128_20260622_221022_792141.log
sa-cuda-candidate,lin318,318,300000,3,nn,64,128,cuda,42354,42354,885.008,3480567,1693742,candidate,128,128,serial,best,results\logs\cuda_candidate\lin318_sa_candidate_serial_best_b128_c128_20260622_221022_792141.log
sa-cuda-candidate-random,lin318,318,300000,1,nn,64,128,cuda,45650,45650,597.018,554324,290972,candidate,128,128,serial,random,results\logs\cuda_candidate\lin318_sa_candidate_serial_random_b128_c128_20260622_221025_559680.log
sa-cuda-candidate-random,lin318,318,300000,2,nn,64,128,cuda,45185,45185,596.808,554316,291438,candidate,128,128,serial,random,results\logs\cuda_candidate\lin318_sa_candidate_serial_random_b128_c128_20260622_221025_559680.log
sa-cuda-candidate-random,lin318,318,300000,3,nn,64,128,cuda,45111,45111,597.629,556078,292491,candidate,128,128,serial,random,results\logs\cuda_candidate\lin318_sa_candidate_serial_random_b128_c128_20260622_221025_559680.log
sa-cuda-candidate,lin318,318,300000,1,nn,64,128,cuda,42205,42205,891.050,3476690,1692155,candidate,128,128,parallel,best,results\logs\cuda_candidate\lin318_sa_candidate_parallel_best_b128_c128_20260622_221027_474463.log
sa-cuda-candidate,lin318,318,300000,2,nn,64,128,cuda,42405,42405,909.838,3480034,1694283,candidate,128,128,parallel,best,results\logs\cuda_candidate\lin318_sa_candidate_parallel_best_b128_c128_20260622_221027_474463.log
