algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
qlsa-omp,kroA150,150,1000000,2,nn,64,8,omp,26849,26849,631.439,2222676,1054637,L1,ok,results\logs\large_openmp\kroA150_qlsa_20260622_203238_951883.log,
qlsa-omp,kroA150,150,1000000,3,nn,64,8,omp,26779,26779,618.982,2220919,1054395,L1,ok,results\logs\large_openmp\kroA150_qlsa_20260622_203238_951883.log,
sa-omp,lin318,318,1000000,1,nn,64,8,omp,44427,44427,391.813,1730832,874667,L2,ok,results\logs\large_openmp\lin318_sa_20260622_203241_038886.log,
sa-omp,lin318,318,1000000,2,nn,64,8,omp,44226,44226,357.467,1728084,872644,L2,ok,results\logs\large_openmp\lin318_sa_20260622_203241_038886.log,
sa-omp,lin318,318,1000000,3,nn,64,8,omp,44218,44218,364.884,1725287,870746,L2,ok,results\logs\large_openmp\lin318_sa_20260622_203241_038886.log,
qlsa-omp,lin318,318,1000000,1,nn,64,8,omp,44184,44184,878.981,1921119,927457,L2,ok,results\logs\large_openmp\lin318_qlsa_20260622_203242_257664.log,
qlsa-omp,lin318,318,1000000,2,nn,64,8,omp,44117,44117,759.721,1912120,923884,L2,ok,results\logs\large_openmp\lin318_qlsa_20260622_203242_257664.log,
qlsa-omp,lin318,318,1000000,3,nn,64,8,omp,43893,43893,737.173,1908125,923831,L2,ok,results\logs\large_openmp\lin318_qlsa_20260622_203242_257664.log,
sa-omp,pcb442,442,1000000,1,nn,64,8,omp,54511,54511,377.391,1846906,932638,L2,ok,results\logs\large_openmp\pcb442_sa_20260622_203244_746058.log,
sa-omp,pcb442,442,1000000,2,nn,64,8,omp,54036,54036,371.457,1847902,932440,L2,ok,results\logs\large_openmp\pcb442_sa_20260622_203244_746058.log,
sa-omp,pcb442,442,1000000,3,nn,64,8,omp,54278,54278,369.300,1846491,932391,L2,ok,results\logs\large_openmp\pcb442_sa_20260622_203244_746058.log,
qlsa-omp,pcb442,442,1000000,1,nn,64,8,omp,54363,54363,971.353,1982898,957569,L2,ok,results\logs\large_openmp\pcb442_qlsa_20260622_203245_976366.log,
qlsa-omp,pcb442,442,1000000,2,nn,64,8,omp,54554,54554,787.873,1973258,957189,L2,ok,results\logs\large_openmp\pcb442_qlsa_20260622_203245_976366.log,
