algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,log_file
qlsa-cuda-chain,ch130,130,500000,1,nn,64,128,cuda,6201,6201,994.923,3768327,1825032,chain,128,128,serial,results\logs\cuda_candidate\ch130_qlsa_chain_serial_b128_c128_20260622_045846_237900.log
qlsa-cuda-chain,ch130,130,500000,2,nn,64,128,cuda,6217,6217,994.668,3784043,1825973,chain,128,128,serial,results\logs\cuda_candidate\ch130_qlsa_chain_serial_b128_c128_20260622_045846_237900.log
qlsa-cuda-chain,ch130,130,500000,3,nn,64,128,cuda,6171,6171,986.763,3775975,1826800,chain,128,128,serial,results\logs\cuda_candidate\ch130_qlsa_chain_serial_b128_c128_20260622_045846_237900.log
qlsa-cuda-candidate,ch130,130,500000,1,nn,64,128,cuda,6110,6113,2760.386,28135255,2114716,candidate,128,128,serial,results\logs\cuda_candidate\ch130_qlsa_candidate_serial_b128_c128_20260622_045849_321047.log
qlsa-cuda-candidate,ch130,130,500000,2,nn,64,128,cuda,6110,6110,2713.393,28124981,2113236,candidate,128,128,serial,results\logs\cuda_candidate\ch130_qlsa_candidate_serial_b128_c128_20260622_045849_321047.log
qlsa-cuda-candidate,ch130,130,500000,3,nn,64,128,cuda,6110,6110,2713.056,28127042,2112750,candidate,128,128,serial,results\logs\cuda_candidate\ch130_qlsa_candidate_serial_b128_c128_20260622_045849_321047.log
qlsa-cuda-candidate,ch130,130,500000,1,nn,64,128,cuda,6110,6113,2036.405,28135255,2114716,candidate,128,128,parallel,results\logs\cuda_candidate\ch130_qlsa_candidate_parallel_b128_c128_20260622_045857_628812.log
qlsa-cuda-candidate,ch130,130,500000,2,nn,64,128,cuda,6110,6110,2022.206,28124981,2113236,candidate,128,128,parallel,results\logs\cuda_candidate\ch130_qlsa_candidate_parallel_b128_c128_20260622_045857_628812.log
qlsa-cuda-candidate,ch130,130,500000,3,nn,64,128,cuda,6110,6110,2082.065,28127042,2112750,candidate,128,128,parallel,results\logs\cuda_candidate\ch130_qlsa_candidate_parallel_b128_c128_20260622_045857_628812.log
sa-cuda-chain,a280,280,500000,1,nn,64,128,cuda,2762,2762,651.532,5936098,2934006,chain,128,128,serial,results\logs\cuda_candidate\a280_sa_chain_serial_b128_c128_20260622_045903_887465.log
sa-cuda-chain,a280,280,500000,2,nn,64,128,cuda,2741,2741,660.516,5937167,2934984,chain,128,128,serial,results\logs\cuda_candidate\a280_sa_chain_serial_b128_c128_20260622_045903_887465.log
sa-cuda-chain,a280,280,500000,3,nn,64,128,cuda,2759,2759,658.066,5938492,2934896,chain,128,128,serial,results\logs\cuda_candidate\a280_sa_chain_serial_b128_c128_20260622_045903_887465.log
sa-cuda-candidate,a280,280,500000,1,nn,64,128,cuda,2579,2579,1574.641,11529713,4985591,candidate,128,128,serial,results\logs\cuda_candidate\a280_sa_candidate_serial_b128_c128_20260622_045905_974845.log
sa-cuda-candidate,a280,280,500000,2,nn,64,128,cuda,2581,2581,1588.800,11528423,4985483,candidate,128,128,serial,results\logs\cuda_candidate\a280_sa_candidate_serial_b128_c128_20260622_045905_974845.log
sa-cuda-candidate,a280,280,500000,3,nn,64,128,cuda,2579,2579,1561.119,11531384,4980853,candidate,128,128,serial,results\logs\cuda_candidate\a280_sa_candidate_serial_b128_c128_20260622_045905_974845.log
sa-cuda-candidate,a280,280,500000,1,nn,64,128,cuda,2579,2579,1432.095,11529713,4985591,candidate,128,128,parallel,results\logs\cuda_candidate\a280_sa_candidate_parallel_b128_c128_20260622_045910_809660.log
sa-cuda-candidate,a280,280,500000,2,nn,64,128,cuda,2581,2581,1532.329,11528423,4985483,candidate,128,128,parallel,results\logs\cuda_candidate\a280_sa_candidate_parallel_b128_c128_20260622_045910_809660.log
sa-cuda-candidate,a280,280,500000,3,nn,64,128,cuda,2579,2579,1573.501,11531384,4980853,candidate,128,128,parallel,results\logs\cuda_candidate\a280_sa_candidate_parallel_b128_c128_20260622_045910_809660.log
qlsa-cuda-chain,a280,280,500000,1,nn,64,128,cuda,2760,2760,1202.446,6036592,2953994,chain,128,128,serial,results\logs\cuda_candidate\a280_qlsa_chain_serial_b128_c128_20260622_045915_457896.log
qlsa-cuda-chain,a280,280,500000,2,nn,64,128,cuda,2739,2739,1101.200,6032200,2951501,chain,128,128,serial,results\logs\cuda_candidate\a280_qlsa_chain_serial_b128_c128_20260622_045915_457896.log
qlsa-cuda-chain,a280,280,500000,3,nn,64,128,cuda,2746,2746,1156.311,6033919,2950419,chain,128,128,serial,results\logs\cuda_candidate\a280_qlsa_chain_serial_b128_c128_20260622_045915_457896.log
qlsa-cuda-candidate,a280,280,500000,1,nn,64,128,cuda,2579,2579,2953.383,23216296,3814464,candidate,128,128,serial,results\logs\cuda_candidate\a280_qlsa_candidate_serial_b128_c128_20260622_045919_042791.log
qlsa-cuda-candidate,a280,280,500000,2,nn,64,128,cuda,2584,2584,2952.239,23202454,3821820,candidate,128,128,serial,results\logs\cuda_candidate\a280_qlsa_candidate_serial_b128_c128_20260622_045919_042791.log
qlsa-cuda-candidate,a280,280,500000,3,nn,64,128,cuda,2579,2579,2949.891,23228746,3817728,candidate,128,128,serial,results\logs\cuda_candidate\a280_qlsa_candidate_serial_b128_c128_20260622_045919_042791.log
qlsa-cuda-candidate,a280,280,500000,1,nn,64,128,cuda,2579,2579,1993.396,23216296,3814464,candidate,128,128,parallel,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_b128_c128_20260622_045928_023924.log
qlsa-cuda-candidate,a280,280,500000,2,nn,64,128,cuda,2584,2584,1982.009,23202454,3821820,candidate,128,128,parallel,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_b128_c128_20260622_045928_023924.log
qlsa-cuda-candidate,a280,280,500000,3,nn,64,128,cuda,2579,2579,1979.625,23228746,3817728,candidate,128,128,parallel,results\logs\cuda_candidate\a280_qlsa_candidate_parallel_b128_c128_20260622_045928_023924.log
