algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,t0,tf,alpha,gamma,epsilon,policy,tuning_stage,fallback
sa-omp,eil76,76,1000000,1,nn,32,8,omp,543,543,173.526,4991309,2387287,300,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,540,546,178.630,4993855,2388731,300,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,546,546,182.545,4992183,2386168,300,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,539,539,190.697,8941952,4300980,1000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,541,541,184.290,8940309,4302169,1000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,539,539,180.978,8935371,4298720,1000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,543,543,184.396,7672363,3686699,1000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,543,544,186.444,7671125,3686742,1000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,546,546,179.630,7665847,3687879,1000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,542,542,179.751,6719295,3226866,1000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,542,542,185.927,6718051,3224600,1000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,542,542,185.102,6716504,3226363,1000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,539,539,195.647,10626469,5120049,3000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,540,540,194.315,10622611,5118047,3000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,543,543,186.298,10625035,5123198,3000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,546,546,193.163,9209895,4436790,3000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,543,543,185.791,9211797,4436428,3000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,546,547,193.647,9208036,4437058,3000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,1000000,1,nn,32,8,omp,544,544,182.259,8131558,3912421,3000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,2,nn,32,8,omp,545,545,182.262,8132548,3913432,3000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,1000000,3,nn,32,8,omp,542,542,199.397,8129219,3914815,3000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,540,543,333.165,9129530,4348094,100,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,543,543,348.555,9135806,4350524,100,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,539,539,338.472,9132189,4345563,100,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,539,539,337.830,7629410,3624355,100,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,546,546,344.209,7638698,3626468,100,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,538,538,354.826,7636491,3623735,100,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,544,544,339.688,6554193,3106384,100,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,539,539,338.049,6564754,3111716,100,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,546,546,336.016,6563025,3108929,100,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,539,539,361.789,13579836,6510905,300,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,541,541,378.327,13584450,6511242,300,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,540,540,363.040,13584426,6513550,300,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,538,539,357.211,11506574,5507865,300,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,538,538,348.488,11506688,5504943,300,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,538,538,352.610,11505645,5507426,300,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,545,545,350.877,9984198,4772334,300,1e-05,,,,,sa-grid,0
