algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
sa-omp,lin318,318,1000000,1,nn,64,8,omp,44427,44427,375.834,1730832,874667,L2,ok,results\logs\large_openmp\lin318_sa_20260622_202908_450963.log,
sa-omp,lin318,318,1000000,2,nn,64,8,omp,44226,44226,375.371,1728084,872644,L2,ok,results\logs\large_openmp\lin318_sa_20260622_202908_450963.log,
sa-omp,lin318,318,1000000,3,nn,64,8,omp,44218,44218,378.021,1725287,870746,L2,ok,results\logs\large_openmp\lin318_sa_20260622_202908_450963.log,
qlsa-omp,lin318,318,1000000,1,nn,64,8,omp,44184,44184,883.746,1921119,927457,L2,ok,results\logs\large_openmp\lin318_qlsa_20260622_202909_600263.log,
qlsa-omp,lin318,318,1000000,2,nn,64,8,omp,44117,44117,757.359,1912120,923884,L2,ok,results\logs\large_openmp\lin318_qlsa_20260622_202909_600263.log,
qlsa-omp,lin318,318,1000000,3,nn,64,8,omp,43893,43893,712.145,1908125,923831,L2,ok,results\logs\large_openmp\lin318_qlsa_20260622_202909_600263.log,
sa-omp,rd400,400,1000000,1,nn,64,8,omp,16501,16501,394.416,5668445,2843659,L2,ok,results\logs\large_openmp\rd400_sa_20260622_202912_010528.log,
sa-omp,rd400,400,1000000,2,nn,64,8,omp,16264,16264,406.061,5668187,2842151,L2,ok,results\logs\large_openmp\rd400_sa_20260622_202912_010528.log,
sa-omp,rd400,400,1000000,3,nn,64,8,omp,16379,16379,405.078,5667419,2842124,L2,ok,results\logs\large_openmp\rd400_sa_20260622_202912_010528.log,
qlsa-omp,rd400,400,1000000,1,nn,64,8,omp,16296,16296,967.265,5809014,2869378,L2,ok,results\logs\large_openmp\rd400_qlsa_20260622_202913_235315.log,
qlsa-omp,rd400,400,1000000,2,nn,64,8,omp,16157,16157,703.787,5803840,2869178,L2,ok,results\logs\large_openmp\rd400_qlsa_20260622_202913_235315.log,
qlsa-omp,rd400,400,1000000,3,nn,64,8,omp,16190,16190,729.913,5798721,2866519,L2,ok,results\logs\large_openmp\rd400_qlsa_20260622_202913_235315.log,
sa-omp,pcb442,442,1000000,1,nn,64,8,omp,54511,54511,407.208,1846906,932638,L2,ok,results\logs\large_openmp\pcb442_sa_20260622_202915_662589.log,
sa-omp,pcb442,442,1000000,2,nn,64,8,omp,54036,54036,390.230,1847902,932440,L2,ok,results\logs\large_openmp\pcb442_sa_20260622_202915_662589.log,
sa-omp,pcb442,442,1000000,3,nn,64,8,omp,54278,54278,389.776,1846491,932391,L2,ok,results\logs\large_openmp\pcb442_sa_20260622_202915_662589.log,
qlsa-omp,pcb442,442,1000000,1,nn,64,8,omp,54363,54363,1022.288,1982898,957569,L2,ok,results\logs\large_openmp\pcb442_qlsa_20260622_202916_868270.log,
qlsa-omp,pcb442,442,1000000,2,nn,64,8,omp,54554,54554,1023.479,1973258,957189,L2,ok,results\logs\large_openmp\pcb442_qlsa_20260622_202916_868270.log,
qlsa-omp,pcb442,442,1000000,3,nn,64,8,omp,54781,54781,775.737,1978285,957797,L2,ok,results\logs\large_openmp\pcb442_qlsa_20260622_202916_868270.log,
sa-omp,d493,493,1000000,1,nn,64,8,omp,37677,37677,407.515,4319204,2176181,L2,ok,results\logs\large_openmp\d493_sa_20260622_202919_710262.log,
sa-omp,d493,493,1000000,2,nn,64,8,omp,37864,37864,412.031,4316094,2173274,L2,ok,results\logs\large_openmp\d493_sa_20260622_202919_710262.log,
sa-omp,d493,493,1000000,3,nn,64,8,omp,37606,37606,403.245,4318663,2176256,L2,ok,results\logs\large_openmp\d493_sa_20260622_202919_710262.log,
qlsa-omp,d493,493,1000000,1,nn,64,8,omp,37691,37691,888.492,4499576,2233531,L2,ok,results\logs\large_openmp\d493_qlsa_20260622_202920_949656.log,
qlsa-omp,d493,493,1000000,2,nn,64,8,omp,37571,37571,726.463,4500772,2230469,L2,ok,results\logs\large_openmp\d493_qlsa_20260622_202920_949656.log,
qlsa-omp,d493,493,1000000,3,nn,64,8,omp,37585,37585,735.930,4509518,2231301,L2,ok,results\logs\large_openmp\d493_qlsa_20260622_202920_949656.log,
sa-omp,att532,532,1000000,1,nn,64,8,omp,29919,29919,407.227,4033251,2039066,L2,ok,results\logs\large_openmp\att532_sa_20260622_202923_316120.log,
sa-omp,att532,532,1000000,2,nn,64,8,omp,30051,30051,418.897,4034955,2038364,L2,ok,results\logs\large_openmp\att532_sa_20260622_202923_316120.log,
sa-omp,att532,532,1000000,3,nn,64,8,omp,30148,30148,405.948,4036457,2038650,L2,ok,results\logs\large_openmp\att532_sa_20260622_202923_316120.log,
qlsa-omp,att532,532,1000000,1,nn,64,8,omp,29844,29844,911.203,4216289,2097543,L2,ok,results\logs\large_openmp\att532_qlsa_20260622_202924_564258.log,
qlsa-omp,att532,532,1000000,2,nn,64,8,omp,29732,29732,1084.159,4219512,2097754,L2,ok,results\logs\large_openmp\att532_qlsa_20260622_202924_564258.log,
qlsa-omp,att532,532,1000000,3,nn,64,8,omp,29826,29826,792.572,4226264,2097576,L2,ok,results\logs\large_openmp\att532_qlsa_20260622_202924_564258.log,
sa-omp,u574,574,1000000,1,nn,64,8,omp,40821,40821,400.284,3001276,1530258,L2,ok,results\logs\large_openmp\u574_sa_20260622_202927_367830.log,
sa-omp,u574,574,1000000,2,nn,64,8,omp,40885,40885,378.941,3000104,1530003,L2,ok,results\logs\large_openmp\u574_sa_20260622_202927_367830.log,
sa-omp,u574,574,1000000,3,nn,64,8,omp,40610,40610,402.852,3002142,1530444,L2,ok,results\logs\large_openmp\u574_sa_20260622_202927_367830.log,
qlsa-omp,u574,574,1000000,1,nn,64,8,omp,40574,40574,976.569,3107897,1557544,L2,ok,results\logs\large_openmp\u574_qlsa_20260622_202929_130005.log,
qlsa-omp,u574,574,1000000,2,nn,64,8,omp,40037,40037,810.781,3108566,1559052,L2,ok,results\logs\large_openmp\u574_qlsa_20260622_202929_130005.log,
qlsa-omp,u574,574,1000000,3,nn,64,8,omp,40220,40220,770.130,3117915,1559950,L2,ok,results\logs\large_openmp\u574_qlsa_20260622_202929_130005.log,
sa-omp,rat575,575,1000000,1,nn,64,8,omp,7553,7553,417.873,9812510,4887239,L2,ok,results\logs\large_openmp\rat575_sa_20260622_202931_707112.log,
sa-omp,rat575,575,1000000,2,nn,64,8,omp,7624,7624,430.566,9810990,4885754,L2,ok,results\logs\large_openmp\rat575_sa_20260622_202931_707112.log,
sa-omp,rat575,575,1000000,3,nn,64,8,omp,7531,7531,418.259,9812042,4887563,L2,ok,results\logs\large_openmp\rat575_sa_20260622_202931_707112.log,
qlsa-omp,rat575,575,1000000,1,nn,64,8,omp,7442,7442,928.968,9915892,4909884,L2,ok,results\logs\large_openmp\rat575_qlsa_20260622_202932_991714.log,
qlsa-omp,rat575,575,1000000,2,nn,64,8,omp,7418,7418,896.361,9916199,4910319,L2,ok,results\logs\large_openmp\rat575_qlsa_20260622_202932_991714.log,
qlsa-omp,rat575,575,1000000,3,nn,64,8,omp,7451,7451,788.408,9916086,4908659,L2,ok,results\logs\large_openmp\rat575_qlsa_20260622_202932_991714.log,
sa-omp,d657,657,1000000,1,nn,64,8,omp,54922,54922,397.875,2702840,1386265,L2,ok,results\logs\large_openmp\d657_sa_20260622_202935_624621.log,
sa-omp,d657,657,1000000,2,nn,64,8,omp,54293,54293,410.580,2709454,1391631,L2,ok,results\logs\large_openmp\d657_sa_20260622_202935_624621.log,
sa-omp,d657,657,1000000,3,nn,64,8,omp,54806,54806,432.407,2703221,1389225,L2,ok,results\logs\large_openmp\d657_sa_20260622_202935_624621.log,
qlsa-omp,d657,657,1000000,1,nn,64,8,omp,54372,54372,944.525,2798982,1411172,L2,ok,results\logs\large_openmp\d657_qlsa_20260622_202936_882646.log,
qlsa-omp,d657,657,1000000,2,nn,64,8,omp,53708,53708,790.582,2799565,1412034,L2,ok,results\logs\large_openmp\d657_qlsa_20260622_202936_882646.log,
qlsa-omp,d657,657,1000000,3,nn,64,8,omp,53720,53720,771.999,2797767,1410014,L2,ok,results\logs\large_openmp\d657_qlsa_20260622_202936_882646.log,
sa-omp,u724,724,1000000,1,nn,64,8,omp,48594,48594,409.146,2962308,1521247,L2,ok,results\logs\large_openmp\u724_sa_20260622_202939_412975.log,
sa-omp,u724,724,1000000,2,nn,64,8,omp,48401,48401,419.662,2965334,1523327,L2,ok,results\logs\large_openmp\u724_sa_20260622_202939_412975.log,
sa-omp,u724,724,1000000,3,nn,64,8,omp,48188,48188,436.877,2965974,1524595,L2,ok,results\logs\large_openmp\u724_sa_20260622_202939_412975.log,
qlsa-omp,u724,724,1000000,1,nn,64,8,omp,47301,47301,944.322,3056405,1548922,L2,ok,results\logs\large_openmp\u724_qlsa_20260622_202940_693558.log,
qlsa-omp,u724,724,1000000,2,nn,64,8,omp,47078,47078,802.298,3054942,1546353,L2,ok,results\logs\large_openmp\u724_qlsa_20260622_202940_693558.log,
qlsa-omp,u724,724,1000000,3,nn,64,8,omp,46922,46922,947.765,3049719,1545330,L2,ok,results\logs\large_openmp\u724_qlsa_20260622_202940_693558.log,
sa-omp,rat783,783,1000000,1,nn,64,8,omp,10589,10589,487.148,9244894,4631088,L2,ok,results\logs\large_openmp\rat783_sa_20260622_202943_402030.log,
sa-omp,rat783,783,1000000,2,nn,64,8,omp,10490,10490,470.553,9246471,4629631,L2,ok,results\logs\large_openmp\rat783_sa_20260622_202943_402030.log,
sa-omp,rat783,783,1000000,3,nn,64,8,omp,10560,10560,485.488,9245989,4630578,L2,ok,results\logs\large_openmp\rat783_sa_20260622_202943_402030.log,
qlsa-omp,rat783,783,1000000,1,nn,64,8,omp,10124,10124,1068.765,9322057,4648222,L2,ok,results\logs\large_openmp\rat783_qlsa_20260622_202944_859729.log,
qlsa-omp,rat783,783,1000000,2,nn,64,8,omp,10056,10056,772.408,9321546,4647580,L2,ok,results\logs\large_openmp\rat783_qlsa_20260622_202944_859729.log,
qlsa-omp,rat783,783,1000000,3,nn,64,8,omp,10105,10105,841.972,9324664,4648815,L2,ok,results\logs\large_openmp\rat783_qlsa_20260622_202944_859729.log,
,pr1002,,1000000,,,64,8,omp,,,,,,L3,missing,,missing data\pr1002.tsp
sa-omp,dsj1000,1000,1000000,1,nn,64,8,omp,20783649,20783649,520.041,21035,20284,L3,ok,results\logs\large_openmp\dsj1000_sa_20260622_202947_556583.log,
sa-omp,dsj1000,1000,1000000,2,nn,64,8,omp,20720629,20720629,499.273,20877,20151,L3,ok,results\logs\large_openmp\dsj1000_sa_20260622_202947_556583.log,
sa-omp,dsj1000,1000,1000000,3,nn,64,8,omp,20587788,20587788,589.242,20995,20252,L3,ok,results\logs\large_openmp\dsj1000_sa_20260622_202947_556583.log,
qlsa-omp,dsj1000,1000,1000000,1,nn,64,8,omp,20650478,20650478,1116.514,44406,22261,L3,ok,results\logs\large_openmp\dsj1000_qlsa_20260622_202949_186699.log,
