algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,qlsa_variant,policy,diversity_threshold,log_file
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,643,643,691.160,5985236,738072,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.50_20260623_005840_955719.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,639,639,718.315,6042586,702326,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.70_20260623_005843_089333.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,639,639,687.067,6043400,701642,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.70_20260623_005843_089333.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,640,640,687.317,6046870,707387,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.70_20260623_005843_089333.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,643,643,945.864,5711664,823140,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.30_20260623_005845_195112.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,641,641,949.461,5657431,800178,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.30_20260623_005845_195112.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,637,637,1004.347,5776857,835057,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.30_20260623_005845_195112.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,632,632,925.289,5840801,802947,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.50_20260623_005848_108751.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,636,636,1206.127,5781573,825404,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.50_20260623_005848_108751.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,637,637,1261.034,5677281,762826,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.50_20260623_005848_108751.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,639,639,949.382,5866016,836698,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.70_20260623_005851_518026.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,640,640,934.763,5905411,865511,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.70_20260623_005851_518026.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,637,637,1023.285,5764765,773025,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.70_20260623_005851_518026.log
